,site_id,groundheight,clutter_class
236,RL_IDUGI,313.9828,OPEN LAND
237,RL_IDUGM,53.007,OPEN IN URBAN
238,RL_IDUIA,22.0147,BUILTUP-VILLAGE
239,RL_IDUIL,902.9934,SPARSE TREE
240,RL_IDUIV,51.9922,AVERAGE-DENSE URBAN
241,RL_IDUIW,88.9956,AVERAGE-DENSE URBAN
242,RL_IDUK>,27.011,LOW-DENSE URBAN
243,RL_IDUKB,67.9958,GREEN HOUSE
244,RL_IDUKO,6.0111,AVERAGE-DENSE URBAN
245,RL_IDUKV,19.0482,HIGH-MEDIUM URBAN
246,RL_IDUMD,13.0371,OPEN IN URBAN
247,RL_IDUPK,2.9665,OPEN LAND
248,RL_IDUQF,11.0074,LOW-MEDIUM URBAN
249,RL_IDUQH,55.9736,LOW-DENSE URBAN
250,RL_IDUQR,71.0404,OPEN IN URBAN
251,RL_IDUQW,59.0182,OPEN IN URBAN
252,RL_IDURR,12.0222,HIGH-DENSE URBAN
253,RL_IDUSK,542.0146,DENSE TREE
254,RL_IDUSO,46.9959,HIGH-ISOLATED-BUILDINGS
255,RL_IDUT>,113.9769,OPEN IN URBAN
256,RL_IDUTJ,102.9695,OPEN IN URBAN
257,RL_IDUWB,297.9792,LOW-DENSE URBAN
258,RL_IDVJP,71.0404,OPEN IN URBAN
259,RL_IDW?O,101.0179,OPEN IN URBAN
260,RL_IDZCV,946.008,OPEN LAND
261,RL_IDZEI,49.0257,LOW-MEDIUM URBAN
262,RL_IDZK>,290.0165,LOW-MEDIUM URBAN
263,RL_ID[CV,51.9922,OPEN IN URBAN
264,RL_ID[WQ,75.0218,LOW-SPARSE URBAN
265,RL_IGV?P,130371,OPEN LAND
266,RL_IHB@@,1998.0302,OPEN LAND
267,RL_IHBAF,1.0149,AVERAGE-DENSE URBAN
268,RL_IHBBB,9.9925,LOW-SPARSE URBAN
269,RL_IHBBI,249.9684,SPARSE TREE
270,RL_IHBI>,1.9517,OPEN IN URBAN
271,RL_IHBII,1.0149,OPEN LAND
272,RL_IHBKF,8.0408,HIGH-DENSE URBAN
273,RL_IHBKV,1.0149,AVERAGE-DENSE URBAN
274,RL_IHBNO,692.9949,DENSE TREE
275,RL_IHBWH,896.9823,DENSE TREE
276,RL_IHBWK,1.0149,AVERAGE-DENSE URBAN
277,RL_IHBWL,1.0149,OPEN IN URBAN
278,RL_IHCJH,1,OPEN LAND
279,RL_IHD?O,532.0222,DENSE TREE
280,RL_IHD?Q,794.9496,BUILTUP-VILLAGE
281,RL_IHDSH,1206.9838,BUILTUP-VILLAGE
282,RL_IHHLP,1.0149,AVERAGE-DENSE URBAN
283,RL_IHHPB,1.0149,AVERAGE-DENSE URBAN
284,RL_IHI?O,248.0168,DENSE TREE
285,RL_IHJDC,644.9841,DENSE TREE
286,RL_IHL?I,30.9923,LOW-MEDIUM URBAN
287,RL_IHL?V,999.0151,OPEN LAND
288,RL_IHLBK,1.0149,AVERAGE-DENSE URBAN
289,RL_IHLCP,689.0136,OPEN LAND
290,RL_IHLRH,13.9739,LOW-DENSE URBAN
291,RL_IHTGP,1051.0072,OPEN LAND
292,RL_IHTKB,9.0557,AVERAGE-DENSE URBAN
293,RL_IHTQE,4.0595,OPEN IN URBAN
294,RL_IHUEB,1468.9745,DENSE TREE
295,RL_IHZCH,639.9879,DENSE TREE
296,RL_IHZCP,1219.9427,OPEN LAND
297,RL_IIBI>,39.97,GREEN HOUSE
298,RL_IIBL>,13.9739,INDUSTRIAL & COMMERCIAL
299,RL_IILM@,8.9776,OPEN IN URBAN
300,RL_IIM?A,3.9814,HIGH-MEDIUM URBAN
301,RL_IIQ?W,6.0111,LOW-DENSE URBAN
302,RL_IIQCK,12.0222,INDUSTRIAL & COMMERCIAL
303,RL_IITCO,1.0149,INDUSTRIAL & COMMERCIAL
304,RL_IJBCV,6050142,BUILTUP-VILLAGE
305,RL_IJBN>,32.0072,OPEN IN URBAN
306,RL_IJD?J,869659,LOW-DENSE URBAN
307,RL_IJECJ,50.9773,AVERAGE-DENSE URBAN
308,RL_IJEQJ,302.9755,OPEN IN URBAN
309,RL_IJFIB,6279657,SPARSE TREE
310,RL_IJFJB,721.9576,DENSE TREE
311,RL_IJFJF,2351.9829,OPEN LAND
312,RL_IJFJJ,1146.014,LOW-DENSE URBAN
313,RL_IJPNR,39.97,LOW-DENSE URBAN
314,RL_IJT?K,302.9755,INDUSTRIAL & COMMERCIAL
315,RL_IJTGK,41.9997,AVERAGE-SPARSE URBAN
316,RL_IKSK>,7026,LOW-DENSE URBAN
317,RL_IKSKL,10149,LOW-MEDIUM URBAN
318,RL_IKSSJ,60111,LOW-MEDIUM URBAN
319,RL_ILBPP,114.9917,AVERAGE-DENSE URBAN
320,RL_ILIGI,8.9776,AVERAGE-SPARSE URBAN
321,RL_ILNPH,97.9733,GREEN HOUSE
322,RL_ILSJH,44.9662,AVERAGE-DENSE URBAN
323,RL_ILUMK,40.9848,GREEN HOUSE
324,RL_IOBBR,1690136,OPEN LAND
325,RL_IOBJF,53.007,DENSE TREE
326,RL_IOBRJ,469959,OPEN IN URBAN
327,RL_IOBW>,101.0179,OPEN IN URBAN
328,RL_IOC??,590182,AVERAGE-DENSE URBAN
329,RL_IOC?I,7990091,BUILTUP-VILLAGE
330,RL_IOCMW,4100045,OPEN LAND
331,RL_IODCP,419997,OPEN IN URBAN
332,RL_IODCS,390332,OPEN IN URBAN
333,RL_IODQQ,419997,LOW-DENSE URBAN
334,RL_IOE??,139973,BUILTUP-VILLAGE
335,RL_IOE?H,3840084,OPEN LAND
336,RL_IOEGI,419997,AVERAGE-DENSE URBAN
337,RL_IOEGK,580033,OPEN IN URBAN
338,RL_IOEMQ,769734,OPEN IN URBAN
339,RL_IOEMW,2020357,OPEN LAND
340,RL_IOFK>,71.9772,AVERAGE-DENSE URBAN
341,RL_IOFLF,233028,OPEN LAND
342,RL_IOFQH,25,
343,RL_IOGMO,359886,INDUSTRIAL & COMMERCIAL
344,RL_IOH?I,560516,OPEN IN URBAN
345,RL_IOHCK,2110133,OPEN LAND
346,RL_IOHGA,409848,INDUSTRIAL & COMMERCIAL
347,RL_IOHS@,349737,LOW-DENSE URBAN
348,RL_IOI?I,2060171,SPARSE TREE
349,RL_IOI?S,390332,OPEN IN URBAN
350,RL_IOJJE,49.0257,OPEN IN URBAN
351,RL_IOJMQ,659661,OPEN IN URBAN
352,RL_IOJQD,2.0297,LOW-MEDIUM URBAN
353,RL_IOJQQ,480108,OPEN IN URBAN
354,RL_IOL?O,2260021,SPARSE TREE
355,RL_IOLAA,10090076,SPARSE TREE
356,RL_IOLCJ,889956,LOW-DENSE URBAN
357,RL_IOLPA,450443,LOW-MEDIUM URBAN
358,RL_IOLPQ,3149977,SPARSE TREE
359,RL_IOLSH,3110163,OPEN LAND
360,RL_IOMLV,3349827,SPARSE TREE
361,RL_IOQ?J,1489506,LOW-DENSE URBAN
362,RL_IOQ?P,560516,AVERAGE-DENSE URBAN
363,RL_IOQ?W,1189731,OPEN LAND
364,RL_IOQMI,669809,OPEN IN URBAN
365,RL_IOT?K,500405,OPEN IN URBAN
366,RL_IOT?W,89776,LOW-DENSE URBAN
367,RL_IOUSO,679958,OPEN LAND
368,RL_IOVXR,189701,OPEN LAND
369,RL_IOWBO,710.0134,DENSE TREE
370,RL_J7ICS,49.9625,OPEN IN URBAN
371,RL_J7IRI,16.0036,SPARSE TREE
372,RL_J7SGP,108.9806,LOW-DENSE URBAN
373,RL_J7SMK,18.0333,OPEN IN URBAN
374,RL_J7Z?Q,615.0067,OPEN LAND
375,RL_J;BAE,4.9962,LOW-MEDIUM URBAN
376,RL_J;BAM,2.0297,DENSE TREE
377,RL_J;D?H,16.0036,LOW-DENSE URBAN
378,RL_J;ECK,243.0205,DENSE TREE
379,RL_J;HCO,2029725,OPEN LAND
380,RL_J;HP>,2.0297,OPEN IN URBAN
381,RL_J;L?V,1.0149,LOW-MEDIUM URBAN
382,RL_J;M1D,3.9814,OPEN IN URBAN
383,RL_J;M@F,9.9925,LOW-MEDIUM URBAN
384,RL_J;MB>,2.0297,LOW-DENSE URBAN
385,RL_J;MIK,675.9765,OPEN LAND
386,RL_J;MIQ,9.9925,SPARSE TREE
387,RL_J;MKO,1.0149,LOW-MEDIUM URBAN
388,RL_J;ML>,4.9962,AVERAGE-MEDIUM URBAN
389,RL_J;MLO,4.9962,LOW-MEDIUM URBAN
390,RL_J;MPU,7.026,OPEN LAND
391,RL_J;MQD,3.9814,HIGH-DENSE URBAN
392,RL_J;MR.,30.0555,DENSE TREE
393,RL_J;MR0,14.9887,LOW-MEDIUM URBAN
394,RL_J;TFJ,878.0122,DENSE TREE
395,RL_J;TGO,9.0557,AVERAGE-SPARSE URBAN
396,RL_J;TIV,1009.9443,OPEN LAND
397,RL_J;TMO,271.9832,INDUSTRIAL & COMMERCIAL
398,RL_J;TNP,3.0446,HIGH-DENSE URBAN
399,RL_J;TRS,1294.0278,OPEN LAND
400,RL_J;YMP,6.0111,HIGH-DENSE URBAN
401,RL_J;[CP,2.9665,LOW-MEDIUM URBAN
402,RL_JAD?H,1794.0427,OPEN LAND
403,RL_JBVCB,2.9665,AVERAGE-DENSE URBAN
404,RL_JEC?P,13539827,OPEN LAND
405,RL_JEHIB,3.9814,OPEN LAND
406,RL_JEHMQ,2.9665,OPEN LAND
407,RL_JEHQF,4.9962,OPEN IN URBAN
408,RL_JEUCM,12.0222,GREEN HOUSE
409,RL_JE[BL,1320102,OPEN LAND
410,RL_JE[RB,214.9947,LOW-SPARSE URBAN
411,RL_JKSKB,172995,LOW-DENSE URBAN
412,RL_JKSMK,38.0183,AVERAGE-DENSE URBAN
413,RL_JK[J@,179.0061,OPEN LAND
414,RL_JPD?J,5019666,DENSE TREE
415,RL_JPEIL,6520101,OPEN LAND
416,RL_K7IGQ,71.0404,OPEN IN URBAN
417,RL_K7LGO,38.9551,LOW-DENSE URBAN
418,RL_K7LI>,19.0482,SPARSE TREE
419,RL_K7LMP,985.978,SPARSE TREE
420,RL_K7LRS,1380213,SPARSE TREE
421,RL_K7MI>,54.9587,LOW-DENSE URBAN
422,RL_K7NBF,49.0257,DENSE TREE
423,RL_K7NBL,44.9662,DENSE TREE
424,RL_K7NPF,1.0149,AVERAGE-MEDIUM URBAN
425,RL_K7NRQ,7.026,LOW-MEDIUM URBAN
426,RL_K7NWO,3.9814,LOW-MEDIUM URBAN
427,RL_K7NWR,4.9962,OPEN LAND
428,RL_K7OBO,34.9737,OPEN LAND
429,RL_K7SIL,238.9611,OPEN LAND
430,RL_K7SIS,639.9879,SPARSE TREE
431,RL_K7SRS,143.9543,LOW-SPARSE URBAN
432,RL_K7Z?Q,1126.9658,SPARSE TREE
433,RL_K7Z@I,292.983,AVERAGE-DENSE URBAN
434,RL_K7ZAJ,1483.0264,SPARSE TREE
435,RL_K7ZCD,750.9982,BUILTUP-VILLAGE
436,RL_K7ZI>,544.0444,SPARSE TREE
437,RL_K7ZM?,2827.0166,OPEN LAND
438,RL_K8BEF,1167.0138,SPARSE TREE
439,RL_K;CQV,44.9662,OPEN IN URBAN
440,RL_K;OBO,38.0183,HIGH-ISOLATED-BUILDINGS
441,RL_K;WWI,58.0033,OPEN IN URBAN
442,RL_K;WXI,1098.0032,OPEN LAND
443,RL_K?HJH,338.0273,OPEN LAND
444,RL_K?OC>,3759675,DENSE TREE
445,RL_K?OCJ,72992,OPEN IN URBAN
446,RL_K?OCP,1309953,SPARSE TREE
447,RL_K?OCQ,2709683,OPEN LAND
448,RL_K?OQ>,779883,LOW-DENSE URBAN
449,RL_K?OQL,4249932,SPARSE TREE
450,RL_K?QJ>,298.9941,OPEN LAND
451,RL_K?SMO,71.9772,SPARSE TREE
452,RL_K?WPB,5339738,AVERAGE-DENSE URBAN
453,RL_KBJQQ,16.0036,LOW-DENSE URBAN
454,RL_KCCPK,9.0557,BUILTUP-VILLAGE
455,RL_KCP@>,313.9828,OPEN LAND
456,RL_KETBO,550.0555,DENSE TREE
457,RL_KHBJF,348.9566,SPARSE TREE
458,RL_KHZQQ,4.9962,AVERAGE-MEDIUM URBAN
459,RL_KIUCM,459811,INDUSTRIAL & COMMERCIAL
460,RL_KKC@I,361.9937,SPARSE TREE
461,RL_KMB@W,158.0063,OPEN LAND
462,RL_KMBNI,2204.0471,OPEN LAND
463,RL_KMBQH,949.9894,SPARSE TREE
464,RL_KMBQO,1559.9998,DENSE TREE
465,RL_KMC?@,1,SPARSE TREE
466,RL_KMCWM,2041.9814,BUILTUP-VILLAGE
467,RL_KMD?H,76.9734,OPEN LAND
468,RL_KMDNQ,247.0019,OPEN LAND
469,RL_KMELJ,923.9933,SPARSE TREE
470,RL_KMGCP,1921.9934,BUILTUP-VILLAGE
471,RL_KMHCA,1114.0068,SPARSE TREE
472,RL_KMJSE,896.9823,OPEN LAND
473,RL_KMLMH,633.04,SPARSE TREE
474,RL_KMLPA,1930.9711,OPEN LAND
475,RL_KMLSA,2077.0332,OPEN LAND
476,RL_KMLW@,889956,INDUSTRIAL & COMMERCIAL
477,RL_KMMGP,2146.9807,OPEN LAND
478,RL_KMNSW,11.0074,LOW-SPARSE URBAN
479,RL_KMT?O,2077.0332,OPEN LAND
480,RL_KMTMM,20297,OPEN LAND
481,RL_KMTNA,1594.0367,OPEN LAND
482,RL_KMTQ.,214.9947,OPEN LAND
483,RL_KMU@P,1.0149,OPEN IN URBAN
484,RL_KMUI>,1597.0033,OPEN LAND
485,RL_KMUI@,737.0244,OPEN LAND
486,RL_KMZ@P,1988.0376,OPEN LAND
487,RL_L7GJL,20297,LOW-DENSE URBAN
488,RL_L7H@P,998.0002,DENSE TREE
489,RL_L7HCI,952.0191,OPEN LAND
490,RL_L7HJ@,988.0077,DENSE TREE
491,RL_L7HMI,10149,OPEN IN URBAN
492,RL_L7L?S,189701,OPEN LAND
493,RL_L7LA>,249812,OPEN IN URBAN
494,RL_L7LK>,110074,OPEN IN URBAN
495,RL_L7LQB,359886,OPEN IN URBAN
496,RL_L7LSI,365975,BUILTUP-VILLAGE
497,RL_L7NCO,59955,AVERAGE-DENSE URBAN
498,RL_L7NJ>,11.0074,AVERAGE-DENSE URBAN
499,RL_L7O?W,39814,DENSE TREE
500,RL_L7SG@,1,BUILTUP-VILLAGE
501,RL_L7TCS,10149,OPEN IN URBAN
502,RL_L7TMD,39814,SPARSE TREE
