,WS_18027,WS_18425,WS_18023,WS_18809,WS_18811,WS_18024,WS_17233,WS_18808,WS_17234,WS_17227,WS_18426,WS_18026,WS_18025,WS_19124,WS_18427,WS_18428,WS_17232,WS_17381,WS_19125,WS_18429,WS_18596,WS_17860,WS_17881,WS_18810,WS_17850,WS_18430,WS_18047,WS_18610,WS_18013,WS_17895,WS_17310,WS_17477,WS_18837,WS_18838,WS_19154,WS_17970,WS_19151,WS_18008,WS_18307,WS_18016,WS_17952,WS_18305,WS_18618,WS_17375,WS_17474,WS_18996,WS_17975,WS_17974,WS_19153,WS_18012,WS_18611,WS_17927,WS_18619,WS_17380,WS_17473,WS_18009,WS_18010,WS_18614,WS_18648,WS_18613,WS_17475,WS_17953,WS_19152,WS_18955,WS_17304,WS_17476,WS_17926,WS_19150,WS_18015,WS_18609,WS_18617,WS_18615,WS_18840,WS_17951,WS_19156,WS_18612,WS_17954,WS_18839,WS_18011,WS_17917,WS_17302,WS_17300,WS_17393,WS_18306,WS_17915,WS_18014,WS_17626,WS_17465,WS_19063,WS_19060,WS_18233,WS_18231,WS_17463,WS_18573,WS_19246,WS_19064,WS_19062,WS_17569,WS_18570,WS_18229,WS_18978,WS_18232,WS_18571,WS_17714,WS_18572,WS_17775,WS_19366,WS_17037,WS_17038,WS_17464,WS_18574,WS_19247,WS_18936,WS_18230,WS_18575,WS_19061
WS_18426,58.53881,87.68331,41.21865,26.47986,55.12474,44.38291,49.62892,41.05211,18.98556,22.39963,0,6.41179,77.4411,31.72587,14.9886,34.1407,23.98176,27.39583,28.81142,65.53349,80.52209,57.20649,19.56845,23.73195,42.55097,44.79926,325.41916,319.67353,328.33361,263.04993,352.64845,350.31689,371.71728,326.08532,345.07088,233.73889,223.24687,227.3271,240.06741,241.73281,203.01226,215.50276,193.35294,240.31722,241.14992,239.23471,384.04124,385.29029,388.45455,346.15339,366.97089,309.51459,297.52371,217.83432,218.41721,190.6883,215.58603,210.25675,192.27043,196.18412,252.55791,252.89099,241.81608,246.14612,246.06285,246.64574,209.09097,207.84192,229.15904,201.01378,194.68526,192.02062,226.82748,246.31266,260.30202,231.65714,306.51687,321.25566,278.78796,289.7796,249.56019,257.05449,278.87123,278.53815,277.2891,261.05145,926.12894,958.35443,941.86697,949.44454,951.19321,902.06391,918.05175,917.88521,967.68067,975.59132,971.34455,979.33847,970.67839,914.05479,909.14186,977.5898,960.35291,925.1297,924.87989,978.67231,933.78978,939.45214,940.61792,938.61944,968.84645,897.31752,896.98444,899.39927,912.72247,938.53617
WS_18026,53.54261,81.43806,37.80458,22.89925,51.79394,39.9696,54.70839,45.29888,13.15666,16.90381,6.41179,0,71.86201,30.56009,11.90761,28.22853,29.89393,33.39127,35.22321,59.37151,74.19357,51.04451,25.73043,26.97948,36.38899,38.88709,320.00661,314.09444,323.17087,258.05373,347.73552,345.40396,366.88762,321.17239,340.07468,230.57463,219.91607,222.08109,234.98794,236.81988,199.0153,211.67234,189.8556,236.81988,237.65258,235.73737,379.21158,380.5439,383.54162,340.99065,361.80815,304.10204,291.94462,215.16968,215.83584,188.27347,212.67158,206.92595,189.27271,193.1864,248.22787,248.56095,237.48604,241.31646,241.31646,241.98262,204.26131,203.34534,224.32938,195.76777,190.43849,187.3575,222.3309,242.64878,256.55487,227.57691,301.52067,316.09292,273.45868,284.70013,244.73053,252.14156,274.20811,273.45868,272.37617,255.80544,919.71715,951.94264,935.45518,943.03275,944.78142,895.65212,911.63996,911.47342,961.26888,969.17953,964.84949,972.92668,964.18333,907.55973,902.73007,971.17801,953.94112,918.63464,918.4681,972.17725,927.37799,933.04035,934.20613,932.20765,962.35139,890.90573,890.57265,892.98748,906.31068,932.12438
WS_18025,21.31712,25.73043,43.80002,53.54261,36.97188,36.22245,106.00271,93.01259,58.78862,55.04147,77.4411,71.86201,0,59.03843,63.70155,44.04983,101.42286,104.67039,102.92172,20.40115,31.14298,26.72967,91.93008,78.69015,37.4715,33.55781,248.22787,242.23243,251.55867,187.19096,276.87275,274.54119,296.35793,250.30962,269.12864,171.78601,159.62859,150.63543,163.70882,166.37346,134.0647,148.13733,129.40158,175.44989,176.28259,173.61795,308.84843,310.26402,312.67885,269.46172,290.11268,232.24003,220.08261,161.37726,162.3765,137.64531,156.13125,147.3879,133.31527,137.47877,180.44609,181.02898,170.12061,171.11985,171.61947,172.28563,134.14797,134.8974,154.13277,124.15557,123.57268,118.2434,153.54988,179.11377,193.10313,161.79361,230.49136,244.64726,201.67994,213.50428,174.53392,181.61187,204.17804,202.17956,201.5134,184.27651,859.92929,891.48862,873.91865,882.07911,884.41067,836.28061,852.35172,852.10191,899.89889,907.06011,902.97988,910.9738,903.06315,847.35552,842.52586,910.22437,892.73767,857.51446,857.93081,911.63996,867.42359,873.00268,874.16846,872.16998,901.73083,831.11787,830.45171,832.53346,846.68936,871.33728
WS_19124,37.72131,77.27456,15.23841,12.90685,26.89621,23.06579,47.29736,34.39051,25.31408,23.3156,31.72587,30.56009,59.03843,0,18.98556,29.47758,51.21105,53.54261,47.63044,55.37455,74.02703,49.29584,36.88861,20.40115,37.30496,35.38975,301.93702,297.44044,303.68569,237.65258,326.66821,324.33665,345.40396,300.18835,319.34045,203.01226,192.85332,203.09553,215.33622,215.83584,174.11757,186.02518,163.29247,210.00694,210.83964,209.17424,357.39484,358.56062,362.39104,321.50547,342.57278,286.03245,275.04081,186.44153,187.02442,159.21224,184.60959,179.77993,161.29399,165.20768,224.49592,224.74573,213.58755,219.99934,219.41645,219.99934,183.11073,180.52936,203.01226,177.28183,166.70654,165.45749,199.59819,216.58527,230.49136,202.84572,281.03625,296.52447,255.22255,264.54879,223.33014,231.24079,252.3081,253.55715,251.64194,236.81988,918.05175,949.69435,932.45746,940.45138,942.6164,894.23653,910.30764,910.05783,958.35443,965.68219,961.51869,969.51261,961.43542,905.56125,900.73159,968.59664,951.19321,915.97,916.21981,969.92896,925.54605,931.12514,932.29092,930.37571,960.01983,889.24033,888.65744,890.73919,904.72855,929.70955
WS_18427,44.04983,76.35859,26.31332,11.49126,40.30268,29.56085,51.87721,40.63576,9.40951,10.65856,14.9886,11.90761,63.70155,18.98556,0,22.39963,38.13766,41.21865,39.63652,53.79242,70.44642,45.96504,28.72815,21.6502,31.47606,32.39203,311.09672,305.68417,313.84463,248.39441,337.90966,335.5781,356.97849,311.34653,330.41536,219.08337,208.42481,212.83812,225.49516,226.99402,188.02366,200.51416,178.44761,225.41189,226.24459,224.41265,369.21918,370.46823,373.71576,331.66441,352.56518,295.19215,283.45108,203.34534,204.0115,176.44913,201.01378,195.43469,177.61491,181.5286,237.65258,237.90239,226.82748,231.40733,231.24079,231.82368,194.35218,192.93659,214.33698,186.60807,179.77993,177.19856,211.92215,231.40733,245.39669,216.66854,291.86135,306.76668,264.46552,275.12408,234.8214,242.3157,264.13244,263.9659,262.63358,246.56247,916.8027,948.77838,932.04111,939.78522,941.70043,892.82094,908.89205,908.64224,957.85481,965.51565,961.35215,969.34607,960.85253,904.56201,899.64908,967.93048,950.61032,915.38711,915.30384,969.09626,924.38027,930.04263,931.20841,929.20993,959.18713,887.99128,887.57493,889.82322,903.39623,928.87685
WS_18428,27.72891,54.04223,22.98252,17.15362,33.47454,18.73575,72.94452,60.7871,15.15514,11.99088,34.1407,28.22853,44.04983,29.47758,22.39963,0,58.03919,61.45326,61.6198,31.6426,48.13006,23.64868,50.96124,42.55097,9.07643,10.65856,292.19443,286.11572,295.6085,230.90771,320.5895,318.34121,339.99141,294.02637,312.92866,208.59135,197.18336,194.60199,207.59211,209.92367,174.36738,187.69058,166.95635,213.83736,214.67006,212.42177,352.48191,353.81423,356.3956,313.42828,334.16251,276.28986,263.9659,194.93507,195.76777,168.95483,191.35446,184.44305,168.03886,172.03582,222.58071,223.08033,212.00542,214.58679,214.75333,215.41949,177.53164,177.3651,197.51644,168.2054,165.04114,161.04418,196.18412,218.75029,232.82292,202.76245,274.29138,288.61382,245.6465,257.38757,218.00086,225.24535,247.56171,246.14612,245.23015,228.24307,894.40307,926.46202,909.64148,917.38559,919.3008,870.50458,886.49242,886.32588,935.45518,943.19929,938.95252,946.94644,938.53617,882.16238,877.33272,945.53085,928.21069,892.98748,892.90421,946.69663,901.98064,907.643,908.80878,906.8103,936.7875,865.59165,865.1753,867.50686,881.07987,906.47722
WS_17232,82.18749,111.16545,63.36847,49.37911,77.02475,67.69851,45.38215,43.21713,42.96732,46.46466,23.98176,29.89393,101.42286,51.21105,38.13766,58.03919,0,3.66388,14.07263,89.26544,103.50461,80.85517,16.82054,34.64032,66.28292,68.69775,349.23438,343.65529,351.98229,286.53207,375.96405,373.71576,395.03288,349.48419,368.46975,254.14004,243.9811,250.97578,263.71609,265.04841,225.07881,237.15296,214.42025,261.21799,262.05069,260.38529,407.1903,408.43935,411.77015,369.80207,390.70284,333.32981,321.4222,236.98642,237.56931,209.59059,235.57083,230.99098,212.3385,216.16892,275.12408,275.37389,264.29898,269.46172,269.12864,269.7948,232.40657,230.6579,252.39137,224.829,217.25143,215.16968,249.72673,267.79632,281.61914,253.80696,329.99901,344.90434,302.60318,313.34501,272.79252,280.45336,302.02029,302.10356,300.68797,284.7834,947.52933,980.00463,963.76698,971.17801,972.76014,923.4643,939.45214,939.20233,989.49741,997.65787,993.32783,1001.32175,992.41186,935.62172,930.70879,999.32327,982.16965,946.86317,946.53009,1000.23924,955.27344,960.9358,962.18485,960.1031,990.49665,918.80118,918.55137,921.04947,934.20613,960.18637
WS_17381,85.26848,114.74606,66.11638,52.37683,79.60612,70.61296,44.21637,43.05059,46.29812,49.79546,27.39583,33.39127,104.67039,53.54261,41.21865,61.45326,3.66388,0,12.65704,92.76278,107.08522,84.43578,17.90305,36.13918,69.78026,72.11182,352.39864,346.81955,355.06328,289.52979,378.8785,376.63021,397.86406,352.39864,371.3842,256.22179,246.22939,254.05677,266.71381,267.96286,227.57691,239.48452,216.75181,263.46628,264.29898,262.63358,410.02148,411.27053,414.6846,372.88306,393.78383,336.49407,324.66973,238.81836,239.40125,211.33926,237.48604,233.156,214.33698,218.1674,277.70545,277.95526,266.88035,272.2929,271.95982,272.62598,235.32102,233.40581,255.30582,227.90999,219.91607,217.91759,252.47464,270.12788,283.9507,256.30506,332.91346,347.90206,305.68417,316.25946,275.70697,283.36781,304.85147,305.10128,303.60242,287.78112,951.19321,983.66851,967.43086,974.84189,976.42402,927.12818,943.11602,942.86621,993.16129,1001.32175,996.99171,1004.98563,996.07574,939.2856,934.37267,1002.98715,985.83353,950.52705,950.19397,1003.90312,958.93732,964.59968,965.84873,963.76698,994.16053,922.46506,922.21525,924.71335,937.87001,963.85025
WS_19125,82.52057,115.66203,61.70307,49.46238,74.44338,67.4487,31.55933,31.05971,46.79774,49.54565,28.81142,35.22321,102.92172,47.63044,39.63652,61.6198,14.07263,12.65704,0,93.2624,109.00043,85.18521,11.07491,28.06199,70.44642,71.94528,349.06784,344.15491,351.14959,285.19975,374.21538,371.96709,392.95113,347.81879,366.88762,248.22787,238.56855,250.39289,262.71685,263.38301,221.16512,232.65638,209.50732,255.88871,256.72141,255.30582,404.94201,406.10779,409.93821,368.96937,389.95341,333.16327,321.83855,230.15828,230.6579,202.51264,229.32558,225.49516,206.25979,210.00694,271.87655,272.04309,260.96818,267.54651,266.96362,267.62978,230.74117,228.07653,250.6427,224.41265,214.17044,213.08793,247.14536,263.04993,276.78948,249.89327,328.58342,343.98837,302.35337,312.09596,270.96058,278.78796,299.85527,301.02105,299.18911,284.11724,954.85709,987.08258,970.59512,978.17269,979.92136,930.87533,946.86317,946.69663,996.40882,1004.2362,999.98943,1007.98335,999.32327,942.78294,937.95328,1006.31795,989.08106,953.77458,953.60804,1007.40046,962.51793,968.18029,969.34607,967.34759,997.5746,926.04567,925.79586,928.12742,941.53389,967.26432
WS_18429,24.23157,22.56617,41.96808,46.04831,41.88481,33.47454,102.17229,89.43198,46.6312,43.63348,65.53349,59.37151,20.40115,55.37455,53.79242,31.6426,89.26544,92.76278,93.2624,0,19.06883,8.49354,82.52057,72.52817,22.98252,21.48366,263.54955,256.63814,267.71305,204.34458,293.9431,291.61154,313.67809,267.37997,286.03245,192.10389,179.8632,167.20616,180.44609,184.0267,153.88296,168.12213,149.71946,195.60123,196.5172,193.76929,326.33513,327.75072,329.66593,285.53283,306.01725,247.56171,234.73813,181.69514,182.69438,157.71338,176.5324,167.70578,153.71642,157.79665,199.43165,200.09781,189.27271,189.0229,189.77233,190.43849,152.21756,153.88296,172.03582,140.7263,143.05786,136.97915,172.28563,199.09857,213.00466,181.36206,247.39517,260.96818,217.25143,230.32482,192.3537,199.09857,222.08109,218.91683,218.75029,200.51416,863.59317,895.48558,878.4985,886.32588,888.32436,839.69468,855.76579,855.51598,904.39547,911.97304,907.72627,915.72019,907.39319,851.26921,846.35628,914.47114,897.15098,861.92777,861.92777,915.72019,871.08747,876.74983,877.91561,875.91713,905.81106,834.78175,834.28213,836.53042,850.26997,875.50078
WS_18596,42.71751,11.49126,61.03691,63.95136,60.62056,52.4601,120.32515,107.75138,62.28596,59.87113,80.52209,74.19357,31.14298,74.02703,70.44642,48.13006,103.50461,107.08522,109.00043,19.06883,0,24.89773,98.67495,90.34795,39.05363,39.05363,255.88871,247.81152,261.21799,199.59819,288.61382,286.36553,308.68189,262.21723,280.53663,196.5172,183.86016,161.87688,175.44989,180.36282,155.7149,170.53696,154.13277,198.76549,199.59819,196.60047,321.50547,323.0876,324.17011,278.87123,298.85603,239.98414,226.32786,188.35674,189.52252,166.04038,182.27803,172.20236,160.12821,164.20844,198.43241,199.18184,188.68982,185.52556,186.85788,187.60731,149.55292,153.05026,168.95483,135.56356,143.80729,135.89664,170.78677,201.01378,214.75333,182.11149,242.06589,254.63966,210.25675,224.91227,188.85636,194.93507,218.50048,213.42101,214.08717,194.43545,846.35628,878.41523,861.67796,869.3388,871.25401,822.37452,838.44563,838.19582,887.49166,895.23577,890.989,898.98292,890.48938,834.11559,829.20266,897.48406,880.24717,844.94069,844.85742,898.64984,853.93385,859.59621,860.76199,858.76351,888.82398,817.54486,817.12851,819.46007,832.94981,858.43043
