,station_no,datetime,measured_date,measured_hour,temp,temp_max,temp_min,wind_dir,wind_speed,wind_dir_max,wind_speed_max,humidity,precipitation,precipitation_coeff,pressure,pressure_sea_level
52,WS_18026,2019-01-01 01:00:00,2019-01-01 00:00:00,4,6.1,6.6,6.1,5,5.3,102,6.9,100,0,60,1008.9,1015
53,WS_18027,2019-01-01 01:00:00,2019-01-01 00:00:00,4,5.3,5.6,5.2,16,0,279,1.5,90,0,60,999.1,1016.7
54,WS_18047,2019-01-01 01:00:00,1.01.2019 00:00,4,0.9,2.5,0.9,1,0.3,4,2.9,80,0,60,898.1,1022.7
55,WS_18229,2019-01-01 01:00:00,1.01.2019 00:00,4,0.7,0.7,0.2,11,0.9,216,3,88,0,60,950.8,1026.5
56,WS_18230,2019-01-01 01:00:00,1.01.2019 00:00,4,-6.1,-5.6,-6.9,11,0.5,214,1.3,99,0,60,898.9,1030.7
57,WS_18231,2019-01-01 01:00:00,1.01.2019 00:00,4,4.1,4.3,4,10,1.6,214,2,67,0,60,981.6,1027.6
58,WS_18232,2019-01-01 01:00:00,1.01.2019 00:00,4,2,2.2,1.9,12,1.8,257,2.9,100,0,60,977.8,1026.5
59,WS_18233,2019-01-01 01:00:00,1.01.2019 00:00,4,5.8,5.8,5.7,10,0.8,177,1.7,72,0,60,1005.3,1026.2
60,WS_18305,2019-01-01 01:00:00,1.01.2019 00:00,4,,,,,,,,,,,,
61,WS_18306,2019-01-01 01:00:00,1.01.2019 00:00,4,7.1,7.2,5.5,15,2.3,317,5.8,88,1.6,60,,
62,WS_18307,2019-01-01 01:00:00,1.01.2019 00:00,4,5.4,5.7,5.4,15,3.2,341,4.5,,3.4,60,,
63,WS_18425,2019-01-01 01:00:00,2019-01-01 00:00:00,4,4.7,5.2,4.7,6,1.6,83,4,75,0,60,,
64,WS_18426,2019-01-01 01:00:00,2019-01-01 00:00:00,4,6.3,6.8,6.2,4,3.7,41,6.8,95,0,60,,
65,WS_18427,2019-01-01 01:00:00,2019-01-01 00:00:00,4,8.5,8.5,7.1,5,7.3,92,13.8,81,0.3,60,,
66,WS_18428,2019-01-01 01:00:00,2019-01-01 00:00:00,4,8.2,9.4,8.2,4,4.4,71,11.9,71,0,60,,
67,WS_18429,2019-01-01 01:00:00,2019-01-01 00:00:00,4,6.5,7.2,6.4,6,5.5,114,9.2,68,0,60,,
68,WS_18430,2019-01-01 01:00:00,2019-01-01 00:00:00,4,7.2,7.8,7.2,3,4.9,50,11.3,73,0,60,,
69,WS_18570,2019-01-01 01:00:00,1.01.2019 00:00,4,0.2,0.3,-0.1,10,2.2,183,4.1,,0,60,,
70,WS_18571,2019-01-01 01:00:00,1.01.2019 00:00,4,-1,-0.7,-1,4,0.9,77,1,99,0,60,,
71,WS_18572,2019-01-01 01:00:00,1.01.2019 00:00,4,-1.8,-1.8,-2.5,12,0,,,98,0,60,,
72,WS_18573,2019-01-01 01:00:00,1.01.2019 00:00,4,4.2,4.5,4.1,11,2.1,226,2.5,76,0,60,,
73,WS_18574,2019-01-01 01:00:00,1.01.2019 00:00,4,4.6,4.9,4.6,7,2.9,133,4.5,97,0,60,,
74,WS_18575,2019-01-01 01:00:00,1.01.2019 00:00,4,-1.2,-0.1,-1.2,10,0.1,360,1.3,95,0,60,,
75,WS_18596,2019-01-01 01:00:00,2019-01-01 00:00:00,4,0,0.2,-0.2,,,,,100,0,60,,
76,WS_18609,2019-01-01 01:00:00,1.01.2019 00:00,4,-2.9,-2.9,-3.3,,,,,100,0.5,60,,
77,WS_18610,2019-01-01 01:00:00,1.01.2019 00:00,4,-0.4,0.2,-0.5,,,,,80,0,60,,
78,WS_18611,2019-01-01 01:00:00,1.01.2019 00:00,4,-0.7,-0.7,-1.2,,,,,90,0.8,60,,
79,WS_18612,2019-01-01 01:00:00,1.01.2019 00:00,4,3.1,3.2,2.9,,,,,100,1.8,60,,
80,WS_18613,2019-01-01 01:00:00,1.01.2019 00:00,4,,,,,,,,,,,,
81,WS_18614,2019-01-01 01:00:00,1.01.2019 00:00,4,0.9,0.9,0.5,,,,,100,1.4,60,,
82,WS_18615,2019-01-01 01:00:00,1.01.2019 00:00,4,-0.7,0.2,-0.9,,,,,100,0,60,,
83,WS_18618,2019-01-01 01:00:00,1.01.2019 00:00,4,-2.3,-1.8,-2.3,,,,,100,0.4,60,,
84,WS_18648,2019-01-01 01:00:00,1.01.2019 00:00,4,0.8,1.6,0.8,,,,,100,0.1,60,,
85,WS_18808,2019-01-01 01:00:00,2019-01-01 00:00:00,4,12.3,12.5,12.2,,,,,78,0,60,,
86,WS_18809,2019-01-01 01:00:00,2019-01-01 00:00:00,4,6.5,6.8,6,,,,,100,0.8,60,,
87,WS_18810,2019-01-01 01:00:00,2019-01-01 00:00:00,4,7.1,7.9,6.9,,,,,87,0.2,60,,
88,WS_18811,2019-01-01 01:00:00,2019-01-01 00:00:00,4,6.3,6.5,5.7,,,,,87,0,60,,
89,WS_18837,2019-01-01 01:00:00,1.01.2019 00:00,4,12.5,13.5,12.3,5,0.8,116,2.3,51,0,60,,
90,WS_18838,2019-01-01 01:00:00,1.01.2019 00:00,4,10.8,11.8,10.7,5,3.4,95,5.6,58,0,60,,
91,WS_18839,2019-01-01 01:00:00,1.01.2019 00:00,4,4,5.4,3.9,8,4.1,103,9.8,82,0,60,,
92,WS_18840,2019-01-01 01:00:00,1.01.2019 00:00,4,-1.7,-0.6,-2.9,,,,,96,0.7,60,,
93,WS_18955,2019-01-01 01:00:00,1.01.2019 00:00,4,6.7,7.1,6.5,15,2.4,271,3.6,99,2,60,1013.9,1017.5
94,WS_18978,2019-01-01 01:00:00,1.01.2019 00:00,4,-5.2,-4.9,-7.4,0,0,,,98,0,60,,
95,WS_18996,2019-01-01 01:00:00,1.01.2019 00:00,4,9.4,10.3,9.3,15,5.7,332,8.3,91,0.4,60,,
96,WS_19060,2019-01-01 01:00:00,1.01.2019 00:00,4,-0.7,-0.6,-1,,,,,100,0,60,,
97,WS_19061,2019-01-01 01:00:00,1.01.2019 00:00,4,-3.2,-3.2,-3.4,,,,,100,1.3,60,,
98,WS_19062,2019-01-01 01:00:00,1.01.2019 00:00,4,-7.4,-6.1,-7.4,,,,,100,0,60,,
99,WS_19063,2019-01-01 01:00:00,1.01.2019 00:00,4,-2.8,-2.8,-3.4,,,,,99,0.8,60,,
100,WS_19064,2019-01-01 01:00:00,1.01.2019 00:00,4,-8.9,-8.1,-9,,,,,81,1.2,60,,
101,WS_19124,2019-01-01 01:00:00,2019-01-01 00:00:00,4,5,5.4,4.8,4,1.1,64,1.5,98,1.1,60,,
102,WS_19125,2019-01-01 01:00:00,2019-01-01 00:00:00,4,8.8,9.8,8.8,4,7.8,74,11.5,72,0,60,,
103,WS_19150,2019-01-01 01:00:00,1.01.2019 00:00,4,0.3,0.9,0.3,,,,,80,0,60,,
104,WS_19151,2019-01-01 01:00:00,1.01.2019 00:00,4,5.1,5.3,4.8,,,,,96,0.7,60,,
105,WS_19152,2019-01-01 01:00:00,1.01.2019 00:00,4,1.4,1.4,1,,,,,98,0.8,60,,
106,WS_19153,2019-01-01 01:00:00,1.01.2019 00:00,4,8.4,9.2,8.1,,,,,58,0,60,,
107,WS_19154,2019-01-01 01:00:00,1.01.2019 00:00,4,12.2,12.9,12.2,,,,,50,0,60,,
108,WS_19156,2019-01-01 01:00:00,1.01.2019 00:00,4,4,4.5,3.6,3,7.1,95,13.1,98,0,60,,
109,WS_19246,2019-01-01 01:00:00,1.01.2019 00:00,4,1.1,1.2,1.1,0,0.8,,,98,0,60,,
110,WS_19247,2019-01-01 01:00:00,1.01.2019 00:00,4,0.3,1.3,0.3,12,0.8,248,1.3,98,0,60,,
111,WS_19366,2019-01-01 01:00:00,1.01.2019 00:00,4,5.9,5.9,4.9,9,0.3,163,1.8,79,0,60,,
112,WS_17037,2019-01-01 02:00:00,1.01.2019 00:00,5,5.5,5.5,5.1,10,2.5,211,6.8,75,0,60,1023.6,1026.7
113,WS_17038,2019-01-01 02:00:00,1.01.2019 00:00,5,6.8,,,11,4.1,,,67,,,1022.2,1023.5
114,WS_17227,2019-01-01 02:00:00,2019-01-01 00:00:00,5,,,,,,,,,,,,
115,WS_17232,2019-01-01 02:00:00,2019-01-01 00:00:00,5,9.2,9.8,8.6,7,8.8,122,17,64,0,60,1008.7,1011.7
116,WS_17233,2019-01-01 02:00:00,2019-01-01 00:00:00,5,11.7,11.9,11.4,0,7,360,13.8,76,0,60,1006.8,1012.1
117,WS_17234,2019-01-01 02:00:00,2019-01-01 00:00:00,5,6.3,7.3,6.2,5,2.6,90,7.3,82,0.1,60,1007.6,1014.5
118,WS_17300,2019-01-01 02:00:00,1.01.2019 00:00,5,7.1,,,16,4.1,,,93,,,1013,1013
119,WS_17302,2019-01-01 02:00:00,1.01.2019 00:00,5,7.2,7.3,7.2,16,3.1,332,4.1,99,1.1,60,1013.4,1019.2
120,WS_17304,2019-01-01 02:00:00,1.01.2019 00:00,5,7.4,7.9,7.4,14,2.9,291,3.6,100,,,,
121,WS_17310,2019-01-01 02:00:00,1.01.2019 00:00,5,13.4,13.5,12,5,1.7,107,2.3,43,0,60,1017,1017.7
122,WS_17375,2019-01-01 02:00:00,1.01.2019 00:00,5,9.4,9.8,9.4,16,2.6,349,5,85,0,60,1016.7,1016.9
123,WS_17380,2019-01-01 02:00:00,1.01.2019 00:00,5,9.8,10.1,9.5,9,6.1,124,13.5,74,0,60,997.4,1015.8
124,WS_17381,2019-01-01 02:00:00,2019-01-01 00:00:00,5,10.3,10.9,10.3,12,14.3,248,17.9,66,,,1009.5,1009.9
125,WS_17393,2019-01-01 02:00:00,1.01.2019 00:00,5,9.6,11,9.6,2,8.4,,,88,,,1017.1,1017.4
126,WS_17463,2019-01-01 02:00:00,1.01.2019 00:00,5,8.7,8.8,8.6,11,1.3,213,1.5,52,,,1011.8,1012.4
127,WS_17464,2019-01-01 02:00:00,1.01.2019 00:00,5,5.9,6.2,5.5,9,8.4,176,10.4,84,,,1013.4,1013.4
128,WS_17465,2019-01-01 02:00:00,1.01.2019 00:00,5,6.4,6.5,6.4,13,3.9,331,6.6,74,,,1013,1013.1
129,WS_17473,2019-01-01 02:00:00,1.01.2019 00:00,5,12.3,12.7,11.7,0,9.3,,,72,,,1015.2,1015.4
130,WS_17474,2019-01-01 02:00:00,1.01.2019 00:00,5,10.9,11.7,10.5,16,7,326,9.9,79,,,1015.9,1015.9
131,WS_17475,2019-01-01 02:00:00,1.01.2019 00:00,5,12.2,12.5,11.6,16,2,328,3.7,0,,,1018.3,1018.3
132,WS_17476,2019-01-01 02:00:00,1.01.2019 00:00,5,9.4,10.2,9.3,14,5.6,307,6,82,,,1018.1,1018.1
133,WS_17477,2019-01-01 02:00:00,1.01.2019 00:00,5,14.6,15.4,13.1,5,3.8,117,8.7,44,,,1017.6,1017.6
134,WS_17569,2019-01-01 02:00:00,1.01.2019 00:00,5,-3.8,-3.7,-5,4,1.3,30,2,98,0,60,895.3,1027.7
135,WS_17626,2019-01-01 02:00:00,1.01.2019 00:00,5,4,4,3.8,12,2.7,253,4.3,73,0,60,1026.6,1026.9
136,WS_17714,2019-01-01 02:00:00,1.01.2019 00:00,5,-3.8,-3.8,-4.4,12,0.7,228,1.7,100,0,60,906.4,1029.7
137,WS_17775,2019-01-01 02:00:00,1.01.2019 00:00,5,3.5,3.5,2.9,6,2.8,120,3.7,97,0,60,1027.1,1027.8
138,WS_17850,2019-01-01 02:00:00,2019-01-01 00:00:00,5,8.8,9.1,8.7,3,3.6,32,7.7,53,0,60,1006.4,1015.2
139,WS_17860,2019-01-01 02:00:00,2019-01-01 00:00:00,5,7.7,7.9,7.1,5,2.2,73,5,58,0,60,1005.4,1015.6
140,WS_17881,2019-01-01 02:00:00,2019-01-01 00:00:00,5,7.8,8.3,7.7,1,5.9,23,9.5,71,0,60,1011.7,1013.1
141,WS_17895,2019-01-01 02:00:00,1.01.2019 00:00,5,5.9,6.1,5.7,2,1.8,320,4,99,1.4,60,,
142,WS_17915,2019-01-01 02:00:00,1.01.2019 00:00,5,6.1,6.5,6.1,15,1.2,341,4.2,96,2.2,60,1017.3,1018
143,WS_17917,2019-01-01 02:00:00,1.01.2019 00:00,5,6.4,6.6,6.1,12,3.4,261,5.1,92,4.9,60,1012.2,1016.8
144,WS_17926,2019-01-01 02:00:00,1.01.2019 00:00,5,-0.1,0,-0.2,15,0.3,9,1.2,99,0,60,900.6,1020.5
145,WS_17927,2019-01-01 02:00:00,1.01.2019 00:00,5,2.2,2.4,1.8,9,2.6,199,4.1,70,0,60,899.9,1021.3
146,WS_17951,2019-01-01 02:00:00,1.01.2019 00:00,5,8.4,8.6,8,1,5,22,7.4,99,0,60,,
147,WS_17952,2019-01-01 02:00:00,1.01.2019 00:00,5,0.2,0.5,0,8,0.5,32,2.5,100,0,60,889.1,1016.3
148,WS_17953,2019-01-01 02:00:00,1.01.2019 00:00,5,8.8,8.8,8.8,8,1.1,163,1.1,67,0,60,1019.1,1020.3
149,WS_17954,2019-01-01 02:00:00,1.01.2019 00:00,5,8.9,8.9,7.5,11,3.9,307,6.8,76,2.5,60,1014.2,1018.8
150,WS_17970,2019-01-01 02:00:00,1.01.2019 00:00,5,9.5,9.7,9.5,1,2.2,360,2.5,94,0,60,1016.6,1019.6
151,WS_17974,2019-01-01 02:00:00,1.01.2019 00:00,5,10.4,10.4,9.9,0,0,276,2.4,64,0,60,1015.5,1018
152,WS_17975,2019-01-01 02:00:00,1.01.2019 00:00,5,9.1,,,3,2.6,,,82,,,1014.5,1015.8
153,WS_18008,2019-01-01 02:00:00,1.01.2019 00:00,5,0.7,0.7,0.4,12,0.2,,,100,0,60,924.6,1018.7
154,WS_18009,2019-01-01 02:00:00,1.01.2019 00:00,5,8.4,8.4,7.7,15,1.8,356,5,100,0,60,1003.9,1012.4
155,WS_18010,2019-01-01 02:00:00,1.01.2019 00:00,5,6.6,6.6,6.5,5,0.6,109,1.9,100,0.1,60,989.6,1015.2
156,WS_18011,2019-01-01 02:00:00,1.01.2019 00:00,5,5.9,6.2,5.8,3,1.1,235,1.7,,0.3,60,1000.1,1017.6
157,WS_18012,2019-01-01 02:00:00,1.01.2019 00:00,5,5.1,5.8,4.5,9,1.7,201,4.8,77,0,60,914.4,1019.5
158,WS_18013,2019-01-01 02:00:00,1.01.2019 00:00,5,3.7,5.5,3.7,9,0.7,39,2.6,96,0,60,958.1,1019.7
159,WS_18014,2019-01-01 02:00:00,1.01.2019 00:00,5,5.5,5.7,5.4,6,0.4,248,1.5,,2.2,60,1008.5,1018
160,WS_18015,2019-01-01 02:00:00,1.01.2019 00:00,5,1.7,2.1,1.7,1,0,,,100,0.8,60,962.3,1022.1
161,WS_18016,2019-01-01 02:00:00,1.01.2019 00:00,5,5.4,5.4,5.3,15,2.7,318,3.9,100,0.7,60,985.6,1018.1
162,WS_18023,2019-01-01 02:00:00,2019-01-01 00:00:00,5,5.4,5.4,5.2,5,1.5,193,2.2,100,0.2,60,1007.5,1016.1
163,WS_18024,2019-01-01 02:00:00,2019-01-01 00:00:00,5,3.4,3.5,3.2,10,1.4,247,2.2,99,0.3,60,931.1,1015.6
164,WS_18025,2019-01-01 02:00:00,2019-01-01 00:00:00,5,3,3.1,2.6,6,0.2,125,1.5,84,0,60,946.1,1015.6
165,WS_18026,2019-01-01 02:00:00,2019-01-01 00:00:00,5,6.6,6.9,6.4,2,2.4,78,6.4,100,0,60,1008.2,1014.3
166,WS_18027,2019-01-01 02:00:00,2019-01-01 00:00:00,5,5.5,5.5,4.9,12,0.5,64,1.7,90,0,60,998,1015.6
167,WS_18047,2019-01-01 02:00:00,1.01.2019 00:00,5,1,3.7,0.9,1,1.2,234,6.2,81,0,60,897.8,1022.6
168,WS_18229,2019-01-01 02:00:00,1.01.2019 00:00,5,0.3,0.5,-0.1,10,1,214,2.9,83,0,60,950.4,1026.1
169,WS_18230,2019-01-01 02:00:00,1.01.2019 00:00,5,-6.5,-6.2,-7.2,11,0.6,214,1.8,99,0,60,898.6,1030.6
170,WS_18231,2019-01-01 02:00:00,1.01.2019 00:00,5,4.2,4.2,3.6,10,1.1,214,2.9,67,0,60,981.4,1027.4
171,WS_18232,2019-01-01 02:00:00,1.01.2019 00:00,5,1.9,1.9,0.8,12,1,238,3.7,100,0,60,977.5,1026.1
172,WS_18233,2019-01-01 02:00:00,1.01.2019 00:00,5,5.8,5.9,5.2,9,1.5,172,1.8,70,0,60,1005.1,1026
173,WS_18305,2019-01-01 02:00:00,1.01.2019 00:00,5,,,,,,,,,,,,
174,WS_18306,2019-01-01 02:00:00,1.01.2019 00:00,5,5.9,7.2,5.6,14,3.6,265,6.2,97,4.2,60,,
175,WS_18307,2019-01-01 02:00:00,1.01.2019 00:00,5,5.7,5.9,5.7,15,3.4,346,4.5,,1.3,60,,
176,WS_18425,2019-01-01 02:00:00,2019-01-01 00:00:00,5,5.3,5.9,5.3,2,3.2,52,4.2,71,0,60,,
177,WS_18426,2019-01-01 02:00:00,2019-01-01 00:00:00,5,6.5,7.4,6.3,3,1.9,60,6.7,95,0,60,,
178,WS_18427,2019-01-01 02:00:00,2019-01-01 00:00:00,5,7.6,7.6,6.3,8,3.6,118,5.4,100,0.1,60,,
179,WS_18428,2019-01-01 02:00:00,2019-01-01 00:00:00,5,9.1,9.2,8.8,4,6.3,55,12.5,56,0,60,,
180,WS_18429,2019-01-01 02:00:00,2019-01-01 00:00:00,5,7.2,7.5,7.1,5,5.2,86,10.4,63,0,60,,
181,WS_18430,2019-01-01 02:00:00,2019-01-01 00:00:00,5,7.4,7.6,7.3,3,5.5,42,7.9,68,0,60,,
182,WS_18570,2019-01-01 02:00:00,1.01.2019 00:00,5,0,0.1,-0.8,10,2,204,3.3,100,0,60,,
183,WS_18571,2019-01-01 02:00:00,1.01.2019 00:00,5,-1,-1,-1.6,10,0.1,,,97,0,60,,
184,WS_18572,2019-01-01 02:00:00,1.01.2019 00:00,5,-2.5,-2.5,-2.8,12,0,,,98,0,60,,
185,WS_18573,2019-01-01 02:00:00,1.01.2019 00:00,5,4.4,4.4,4,12,0.4,,,76,0,60,,
186,WS_18574,2019-01-01 02:00:00,1.01.2019 00:00,5,4.8,4.8,4.4,7,3.4,148,4.9,95,0,60,,
187,WS_18575,2019-01-01 02:00:00,1.01.2019 00:00,5,-0.1,0,-0.4,16,0.9,316,1,93,0,60,,
188,WS_18596,2019-01-01 02:00:00,2019-01-01 00:00:00,5,0,0.5,0,,,,,100,0,60,,
189,WS_18609,2019-01-01 02:00:00,1.01.2019 00:00,5,-3.2,-3,-3.3,,,,,100,1,60,,
190,WS_18610,2019-01-01 02:00:00,1.01.2019 00:00,5,0.2,0.3,-0.8,,,,,78,0,60,,
191,WS_18611,2019-01-01 02:00:00,1.01.2019 00:00,5,-0.5,1,-0.5,,,,,100,0,60,,
192,WS_18612,2019-01-01 02:00:00,1.01.2019 00:00,5,3.2,3.3,3.1,,,,,100,1.3,60,,
193,WS_18613,2019-01-01 02:00:00,1.01.2019 00:00,5,,,,,,,,,,,,
194,WS_18614,2019-01-01 02:00:00,1.01.2019 00:00,5,0.8,1.6,0.8,,,,,100,0.4,60,,
195,WS_18615,2019-01-01 02:00:00,1.01.2019 00:00,5,-0.1,1.1,-0.5,,,,,100,0,60,,
196,WS_18618,2019-01-01 02:00:00,1.01.2019 00:00,5,-1.8,-1.6,-2.3,,,,,100,0.2,60,,
197,WS_18648,2019-01-01 02:00:00,1.01.2019 00:00,5,1.2,1.7,1.1,,,,,100,0,60,,
198,WS_18808,2019-01-01 02:00:00,2019-01-01 00:00:00,5,12.4,12.9,12.3,,,,,75,0,60,,
199,WS_18809,2019-01-01 02:00:00,2019-01-01 00:00:00,5,6.4,7.2,6.2,,,,,100,0.3,60,,
200,WS_18810,2019-01-01 02:00:00,2019-01-01 00:00:00,5,7.9,7.9,7.2,,,,,85,0,60,,
201,WS_18811,2019-01-01 02:00:00,2019-01-01 00:00:00,5,5.6,5.6,5.1,,,,,95,0.9,60,,
202,WS_18837,2019-01-01 02:00:00,1.01.2019 00:00,5,13.2,13.4,12.6,4,1.4,134,2.1,52,0,60,,
