,type,datetime,tip,mlid,mw_connection_no,site_id,neid,direction,polarization,card_type,adaptive_modulation,freq_band,link_length,severaly_error_second,error_second,unavail_second,avail_time,bbe,rxlevmax,scalibility_score,capacity,modulation,rlf
15,NEC,2019-01-02 00:00:00,NEAR,K3HE,313807,RL_I:VF>,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-22.3,,407,512QAM,FALSE
16,ENK,2019-01-02 00:00:00,FAR,R0DK,306403,RL_I;YNL,8179,Near End,,cardtype4,Enable,f4,,0,0,0,86400,0,-36,0.08543,406,512QAM(QO),FALSE
17,ENK,2019-01-02 00:00:00,FAR,R0ED,313790,RL_I;YNL,8180,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-33.8,0.01847,406,512QAM,FALSE
18,NEC,2019-01-02 00:00:00,FAR,R0KS,1348426,RL_I;YNL,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-33.1,,407,512QAM,FALSE
19,ENK,2019-01-02 00:00:00,FAR,R0NQ,313790,RL_I;YNL,8180,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-31.3,0.01059,406,512QAM,FALSE
20,ENK,2019-01-02 00:00:00,NEAR,R0VU,244941,RL_I;YNL,,,,cardtype4,Enable,f5,,0,0,0,86400,0,-88.1,,406,512QAM(QO),FALSE
21,NEC,2019-01-02 00:00:00,FAR,R0XD,1348426,RL_I;YNL,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-33.1,,407,512QAM,FALSE
22,NEC,2019-01-02 00:00:00,FAR,R1PV,1362968,RL_I;YNL,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-33.8,,447,1024QAM,FALSE
23,NEC,2019-01-02 00:00:00,FAR,R1RV,1362969,RL_I;YNL,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-37.7,,447,1024QAM,FALSE
24,ENK,2019-01-02 00:00:00,FAR,R1FM,1372697,RL_I<BRF,,,,cardtype4,Enable,f5,,0,0,0,36000,0,-33.5,,200,512QAM,FALSE
25,ENK,2019-01-02 00:00:00,NEAR,R3YP,288170,RL_I=VJS,8110,Near End,,cardtype1,Enable,f4,,0,0,0,86400,0,-31.9,0.21436,406,512QAM,FALSE
26,ENK,2019-01-02 00:00:00,NEAR,R3JW,290148,RL_I=VXL,9832,Near End,,cardtype1,Enable,f4,,0,0,0,36000,0,-38.2,0,200,512QAM,FALSE
27,ENK,2019-01-02 00:00:00,NEAR,R2LA,301235,RL_I>PA>,7773,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-31.6,0.0036,84,256QAM,FALSE
28,ENK,2019-01-02 00:00:00,NEAR,R2UL,229483,RL_IABBF,,,,cardtype1,Enable,f4,,0,0,0,86400,0,-29.1,,371,256QAM,FALSE
29,ENK,2019-01-02 00:00:00,NEAR,T0CA,354892,RL_IABIL,5806,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-34.7,0,406,512QAM,FALSE
30,ENK,2019-01-02 00:00:00,NEAR,T0CB,354892,RL_IABIL,5806,Near End,,cardtype4,Enable,f3,,0,2,0,86400,2,-34.4,0.01768,406,512QAM,FALSE
31,ENK,2019-01-02 00:00:00,FAR,T0DQ,268499,RL_IABIL,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,,406,512QAM,FALSE
32,ENK,2019-01-02 00:00:00,NEAR,T0OH,251186,RL_IABIL,5806,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-99.9,0,200,512QAM(QO),FALSE
33,ENK,2019-01-02 00:00:00,NEAR,T0OK,251186,RL_IABIL,5806,Near End,,cardtype4,Enable,f2,,0,1,0,86400,1,-99.9,0,203,512QAM(QO),FALSE
34,NEC,2019-01-02 00:00:00,FAR,U3OE,251183,RL_IABIL,,,,cardtype5,Enable,f2,,0,0,0,86400,0,-36.4,,247,2048QAM*,FALSE
35,NEC,2019-01-02 00:00:00,FAR,U3QE,251183,RL_IABIL,,,,cardtype5,Enable,f2,,0,0,0,86400,0,-36.4,,247,2048QAM*,FALSE
36,ENK,2019-01-02 00:00:00,NEAR,R2WG,259381,RL_IABQB,7869,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-38.2,0.00556,369,256QAM,FALSE
37,ENK,2019-01-02 00:00:00,NEAR,K7LJ,292151,RL_IAC?J,5070,Near End,,cardtype2,Enable,f3,,0,0,0,86400,0,-31.9,0,154,128QAM,FALSE
38,NEC,2019-01-02 00:00:00,FAR,K7AZ,237074,RL_IACI>,,,,cardtype5,Enable,f1,,0,0,0,86400,0,-36.3,,109,1024 QAM,FALSE
39,ENK,2019-01-02 00:00:00,NEAR,K7DM,148328,RL_IACI>,9459,Near End,,cardtype4,Enable,f2,,0,7,0,86400,8,-36.3,0,200,512QAM(QO),FALSE
40,ENK,2019-01-02 00:00:00,NEAR,K7EM,148328,RL_IACI>,9459,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-33.8,0,200,512QAM(QO),FALSE
41,ENK,2019-01-02 00:00:00,FAR,K7AM,308548,RL_IACKO,,,,cardtype2,Enable,f4,,0,0,0,86400,0,-44.8,,154,128QAM,FALSE
42,ENK,2019-01-02 00:00:00,FAR,K7KT,352415,RL_IACKO,9464,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-32.2,0,406,512QAM,FALSE
43,ENK,2019-01-02 00:00:00,FAR,K7LT,352415,RL_IACKO,9464,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-32.5,0,406,512QAM,FALSE
44,NEC,2019-01-02 00:00:00,FAR,K7TY,237092,RL_IACKO,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-35.1,,203,512QAM,FALSE
45,NEC,2019-01-02 00:00:00,FAR,K7UY,237092,RL_IACKO,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-35.1,,203,512QAM,FALSE
46,ENK,2019-01-02 00:00:00,FAR,K7YZ,352457,RL_IACKO,9464,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-41,0,406,512QAM(QO),FALSE
47,ENK,2019-01-02 00:00:00,NEAR,R6ZJ,209574,RL_IAD?F,7638,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-40.1,0,200,512QAM,FALSE
48,ENK,2019-01-02 00:00:00,NEAR,U3AR,348699,RL_IAD@P,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,,406,512QAM(QO),FALSE
49,ENK,2019-01-02 00:00:00,NEAR,T0WI,153062,RL_IADAB,5842,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,0,72,128QAM,FALSE
50,NEC,2019-01-02 00:00:00,NEAR,U3IN,312916,RL_IADGK,,,,cardtype5,Enable,f5,,0,0,528,86400,0,-29.7,,77,128QAM,FALSE
51,ENK,2019-01-02 00:00:00,NEAR,U3FL,1349265,RL_IADI>,5900,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-40.7,0,72,128QAM,FALSE
52,ENK,2019-01-02 00:00:00,NEAR,U3KX,302745,RL_IADII,5960,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.5,0,72,128QAM,FALSE
53,ENK,2019-01-02 00:00:00,NEAR,U3MC,287471,RL_IADIL,5941,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-40.4,0,72,128QAM,FALSE
54,ENK,2019-01-02 00:00:00,NEAR,U3MB,287469,RL_IADKB,5970,Near End,,cardtype4,Enable,f1,,0,0,0,86400,0,-41.6,0,74,128QAM,FALSE
55,ENK,2019-01-02 00:00:00,NEAR,U3OP,302176,RL_IADMO,5972,Near End,,cardtype4,Enable,f5,,0,0,0,86400,0,-39.8,0,72,128QAM,FALSE
56,ENK,2019-01-02 00:00:00,FAR,T0AC,354892,RL_IADRL,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-34.7,,406,512QAM,FALSE
57,ENK,2019-01-02 00:00:00,FAR,T0BC,354892,RL_IADRL,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-34.4,,406,512QAM,FALSE
58,ENK,2019-01-02 00:00:00,FAR,U3IH,302169,RL_IADRL,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,,406,512QAM,FALSE
59,ENK,2019-01-02 00:00:00,FAR,U3JH,302169,RL_IADRL,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,,406,512QAM,FALSE
60,NEC,2019-01-02 00:00:00,FAR,U3PG,1363579,RL_IADRL,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-35.7,,407,512QAM,FALSE
61,NEC,2019-01-02 00:00:00,FAR,U3TE,290242,RL_IADRL,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-43.1,,272,64QAM,FALSE
62,NEC,2019-01-02 00:00:00,FAR,U3WE,290242,RL_IADRL,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-43.1,,272,64QAM,FALSE
63,NEC,2019-01-02 00:00:00,FAR,T0CS,329338,RL_IADWB,,,,cardtype5,Enable,f4,,0,0,530,86400,0,-40.6,,407,512QAM,FALSE
64,ENK,2019-01-02 00:00:00,NEAR,U3HI,302169,RL_IADWB,5807,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,0,406,512QAM,FALSE
65,ENK,2019-01-02 00:00:00,NEAR,U3HJ,302169,RL_IADWB,5807,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,0,406,512QAM,FALSE
66,ENK,2019-01-02 00:00:00,FAR,U3LF,1349265,RL_IADWB,5807,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-46.7,0,72,128QAM,FALSE
67,ENK,2019-01-02 00:00:00,FAR,U3PO,302176,RL_IADWB,5807,Near End,,cardtype4,Enable,f5,,0,0,0,86400,0,-39.8,0,72,128QAM,FALSE
68,ENK,2019-01-02 00:00:00,FAR,U3RA,348699,RL_IADWB,5807,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.5,0,406,512QAM(QO),FALSE
69,ENK,2019-01-02 00:00:00,NEAR,R2VF,144643,RL_IAHS@,,,,cardtype2,Enable,f1,,0,0,0,86400,0,-38.5,,72,128QAM,FALSE
70,ENK,2019-01-02 00:00:00,NEAR,R2RJ,344408,RL_IAHSJ,7749,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-37.3,0,160,128QAM,FALSE
71,ENK,2019-01-02 00:00:00,NEAR,R2UT,316566,RL_IAHSJ,7749,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-45.1,0,72,128QAM,FALSE
72,ENK,2019-01-02 00:00:00,NEAR,R2FB,243007,RL_IAHSW,7743,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-36.3,0,160,128QAM,FALSE
73,ENK,2019-01-02 00:00:00,FAR,R2FV,144643,RL_IAHSW,,,,cardtype2,Enable,f1,,0,0,0,86400,0,-38.2,,72,128QAM,FALSE
74,NEC,2019-01-02 00:00:00,NEAR,K3ZP,1347591,RL_IAJN>,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-41.4,,88,256QAM,FALSE
75,ENK,2019-01-02 00:00:00,NEAR,T0ZI,268500,RL_IAJQH,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-43.2,,327,128QAM,FALSE
76,ENK,2019-01-02 00:00:00,NEAR,R2KB,1349727,RL_IAL?K,7859,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-33.8,0,406,512QAM,FALSE
77,ENK,2019-01-02 00:00:00,NEAR,R6ZN,262398,RL_IALI>,7558,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,0,154,128QAM,FALSE
78,ENK,2019-01-02 00:00:00,FAR,T0BX,149863,RL_IALMV,5879,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,0,327,128QAM,FALSE
79,NEC,2019-01-02 00:00:00,NEAR,U3ER,151580,RL_IALMV,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-46.7,,203,512QAM,FALSE
80,NEC,2019-01-02 00:00:00,NEAR,U3ES,151580,RL_IALMV,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-46.7,,203,512QAM,FALSE
81,ENK,2019-01-02 00:00:00,NEAR,R6CD,343242,RL_IALSV,7761,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-33.8,0,406,512QAM(QO),FALSE
82,NEC,2019-01-02 00:00:00,NEAR,U3AG,1366955,RL_IAOPK,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-51.1,,158,128QAM,FALSE
83,ENK,2019-01-02 00:00:00,FAR,R1EU,247914,RL_IAS?M,,,,cardtype2,Enable,f5,,0,0,0,86400,0,-40.4,,72,128QAM,FALSE
84,ENK,2019-01-02 00:00:00,FAR,K7AJ,306647,RL_IASMP,,,,cardtype2,Disable,f3,,0,0,0,86400,0,-39.5,,154,128QAM,FALSE
85,ENK,2019-01-02 00:00:00,NEAR,K7FV,270662,RL_IASMP,9098,Near End,,cardtype4,Enable,f4,,0,0,0,86400,0,-40.4,0,180,256QAM,FALSE
86,ENK,2019-01-02 00:00:00,NEAR,K7FX,270662,RL_IASMP,9098,Near End,,cardtype4,Enable,f4,,0,0,0,86400,0,-40.7,0,180,256QAM,FALSE
87,ENK,2019-01-02 00:00:00,FAR,U3MD,148593,RL_IASQR,5824,Near End,,cardtype4,Enable,f3,,0,3,0,86400,20,-39.8,0.00309,406,512QAM,FALSE
88,ENK,2019-01-02 00:00:00,FAR,U3QD,148593,RL_IASQR,5824,Near End,,cardtype4,Enable,f3,,0,1,36,86364,1,-39.8,0.0268,406,512QAM,FALSE
89,ENK,2019-01-02 00:00:00,FAR,K7EJ,352454,RL_IAT?E,9147,Near End,,cardtype4,Enable,f4,,0,0,0,86400,0,-39.8,0,200,512QAM,FALSE
90,ENK,2019-01-02 00:00:00,FAR,K7WZ,288178,RL_IAT?E,,,,cardtype2,Disable,f3,,0,0,0,86400,0,-39.5,,325,128QAM,FALSE
91,ENK,2019-01-02 00:00:00,NEAR,K7ZY,352457,RL_IAT?E,9147,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-40.7,0,406,512QAM(QO),FALSE
92,ENK,2019-01-02 00:00:00,FAR,R2GW,259381,RL_IATC?,7985,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.1,0,369,256QAM,FALSE
93,ENK,2019-01-02 00:00:00,FAR,R2IV,277329,RL_IATC?,7985,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-29.7,0,189,16QAM,FALSE
94,ENK,2019-01-02 00:00:00,FAR,R2TW,259378,RL_IATC?,,,,cardtype2,Disable,f2,,157,7240,11923,74477,33811,-80.9,,154,128QAM,TRUE
95,ENK,2019-01-02 00:00:00,NEAR,R2GQ,144740,RL_IATSI,,,,cardtype2,Enable,f3,,0,0,54905,31495,0,-39.1,,93,4QAM,FALSE
96,ENK,2019-01-02 00:00:00,NEAR,R3BE,344392,RL_IATSI,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-35.7,,94,16QAM,FALSE
97,ENK,2019-01-02 00:00:00,NEAR,R0SQ,211956,RL_IAVL>,,,,cardtype2,Enable,f3,,0,2,0,86400,2,-39.8,,154,128QAM,FALSE
98,ENK,2019-01-02 00:00:00,FAR,R1CG,207084,RL_IAVL>,,,,cardtype2,Enable,f5,,0,0,0,86400,0,-39.5,,154,128QAM,FALSE
99,ENK,2019-01-02 00:00:00,NEAR,R3FS,312435,RL_IAVL@,8159,Near End,,cardtype4,Enable,f5,,0,0,0,86400,0,-29.7,0,369,256QAM,FALSE
100,ENK,2019-01-02 00:00:00,NEAR,R3MF,203594,RL_IAVLB,8166,Near End,,cardtype1,Enable,f5,,0,0,0,86400,0,-29.7,0,406,512QAM(QO),FALSE
101,ENK,2019-01-02 00:00:00,NEAR,R0FG,325931,RL_IAVPP,8190,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-30,0.00416,406,512QAM,FALSE
102,ENK,2019-01-02 00:00:00,FAR,R0GD,325929,RL_IAVPP,8190,Near End,,cardtype1,Enable,f2,,0,0,0,86400,0,-38.2,0,180,256QAM,FALSE
103,ENK,2019-01-02 00:00:00,FAR,R0OF,325929,RL_IAVPP,8190,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-39.1,0,180,256QAM,FALSE
104,ENK,2019-01-02 00:00:00,FAR,R0XA,348902,RL_IAVPP,,,,cardtype2,Disable,f5,,0,0,0,86400,0,-34.7,,21,4QAM,FALSE
105,ENK,2019-01-02 00:00:00,NEAR,R0ZO,325931,RL_IAVPP,8190,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-30.7,0.00701,406,512QAM,FALSE
106,ENK,2019-01-02 00:00:00,FAR,R2RF,321648,RL_IAZ?@,,,,cardtype2,Disable,f1,,0,0,0,86400,0,-45.7,,35,128QAM,FALSE
107,ENK,2019-01-02 00:00:00,FAR,R2TU,316566,RL_IAZ?@,,,,cardtype4,Enable,f2,,0,0,0,86400,0,-41.6,,72,128QAM,FALSE
108,ENK,2019-01-02 00:00:00,NEAR,R2WT,259378,RL_IAZ?@,,,,cardtype2,Enable,f2,,95,792,15038,71362,45077,-38.2,,154,128QAM,TRUE
109,ENK,2019-01-02 00:00:00,FAR,R2YJ,312173,RL_IAZ?@,7961,Near End,,cardtype1,Enable,f2,,0,1,54910,31490,9,-39.5,0.0042,87,256QAM,FALSE
110,ENK,2019-01-02 00:00:00,FAR,R3YH,147406,RL_IAZMH,9788,Near End,,cardtype1,Enable,f2,,0,0,0,36000,0,-39.1,0.09633,180,256QAM,FALSE
111,ENK,2019-01-02 00:00:00,FAR,R2AO,271603,RL_IBBCP,,,,cardtype4,Disable,f1,,0,0,0,86400,0,-40.4,,140,128QAM-XPIC,FALSE
112,ENK,2019-01-02 00:00:00,FAR,R2QN,271603,RL_IBBCP,,,,cardtype4,Disable,f1,,0,0,0,86400,0,-44.2,,140,128QAM-XPIC,FALSE
113,ENK,2019-01-02 00:00:00,NEAR,R2XT,279826,RL_IBBCP,,,,cardtype2,Enable,f3,,0,0,0,86400,0,-33.8,,150,128QAM,FALSE
114,NEC,2019-01-02 00:00:00,NEAR,R3GT,1362635,RL_IBBEP,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-21.6,,407,512QAM,FALSE
115,ENK,2019-01-02 00:00:00,NEAR,R2PA,307212,RL_IBBIJ,10073,Near End,,cardtype1,Enable,f5,,0,0,0,36000,0,-39.8,0,406,512QAM,FALSE
116,ENK,2019-01-02 00:00:00,NEAR,R2IF,229466,RL_IBBJB,,,,cardtype2,Enable,f5,,0,0,0,86400,0,-37.6,,44,16QAM,FALSE
117,NEC,2019-01-02 00:00:00,NEAR,R3BD,338477,RL_IBBKR,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-33.6,,407,512QAM,FALSE
118,ENK,2019-01-02 00:00:00,NEAR,R2MD,355256,RL_IBBMV,,,,cardtype2,Disable,f3,,0,0,0,86400,0,-39.8,,154,128QAM,FALSE
119,ENK,2019-01-02 00:00:00,NEAR,R2OB,146500,RL_IBBP>,7824,Near End,,cardtype4,Enable,f3,,0,1,0,86400,2,-38.2,0,406,512QAM,FALSE
120,ENK,2019-01-02 00:00:00,FAR,R2WF,1345911,RL_IBBQF,9643,Near End,,cardtype1,Enable,f3,,0,0,0,36000,0,-39.5,0,84,256QAM,FALSE
121,NEC,2019-01-02 00:00:00,NEAR,R3IM,344665,RL_IBBQF,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-34,,407,512QAM,FALSE
122,ENK,2019-01-02 00:00:00,FAR,R2LR,351210,RL_IBBQR,,,,cardtype2,Enable,f3,,0,0,0,86400,0,-33.5,,72,128QAM,FALSE
123,ENK,2019-01-02 00:00:00,NEAR,R2NC,340799,RL_IBBQR,7856,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-39.8,0.00523,369,256QAM,FALSE
124,ENK,2019-01-02 00:00:00,NEAR,R2LS,353828,RL_IBBRB,9482,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-35.4,0,84,256QAM,FALSE
125,ENK,2019-01-02 00:00:00,FAR,R2GM,300456,RL_IBBRF,7868,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-27.2,0,406,512QAM,FALSE
126,NEC,2019-01-02 00:00:00,FAR,R3OK,1365714,RL_IBBRF,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-21,,407,512QAM,FALSE
127,ENK,2019-01-02 00:00:00,NEAR,R3AE,325120,RL_IBBT/,7821,Near End,,cardtype4,Enable,f5,,0,0,0,86400,0,-37.6,0.00198,180,256QAM,FALSE
128,NEC,2019-01-02 00:00:00,FAR,R2SC,351884,RL_IBBTP,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-39.7,,447,1024 QAM,FALSE
129,ENK,2019-01-02 00:00:00,FAR,R2SV,330969,RL_IBBTP,8602,Near End,,cardtype1,Enable,f5,,0,0,0,86400,0,-39.8,0,160,128QAM,FALSE
130,ENK,2019-01-02 00:00:00,FAR,R2SX,342043,RL_IBBTP,8602,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,0,180,256QAM,FALSE
131,NEC,2019-01-02 00:00:00,FAR,R3OB,353246,RL_IBBTP,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-30.9,,407,512QAM,FALSE
132,ENK,2019-01-02 00:00:00,NEAR,R3PG,343121,RL_IBBTP,8602,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-40.1,0.00986,200,512QAM(QO),FALSE
133,ENK,2019-01-02 00:00:00,NEAR,R3PH,343120,RL_IBBTP,8602,Near End,,cardtype4,Enable,f2,,0,7,0,86400,16,-43.2,0.0085,200,512QAM(QO),FALSE
134,NEC,2019-01-02 00:00:00,FAR,R3WB,353246,RL_IBBTP,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-30.9,,407,512QAM,FALSE
135,NEC,2019-01-02 00:00:00,NEAR,R6OH,340548,RL_IBBTP,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-29.7,,407,512QAM,FALSE
136,NEC,2019-01-02 00:00:00,NEAR,R6OI,340548,RL_IBBTP,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-29.7,,407,512QAM,FALSE
137,ENK,2019-01-02 00:00:00,FAR,R2AM,348495,RL_IBBTV,7802,Near End,,cardtype4,Enable,f3,,8,99,0,86400,703,-32.5,0.32283,406,512QAM(QO),FALSE
138,NEC,2019-01-02 00:00:00,NEAR,R2EH,286317,RL_IBBWB,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-28.4,,407,512QAM,FALSE
139,NEC,2019-01-02 00:00:00,FAR,R2JE,1344612,RL_IBBWB,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-38.7,,407,512QAM,FALSE
140,NEC,2019-01-02 00:00:00,NEAR,R2LV,286317,RL_IBBWB,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-28.4,,407,512QAM,FALSE
141,NEC,2019-01-02 00:00:00,FAR,R2XO,1344612,RL_IBBWB,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-38.7,,407,512QAM,FALSE
142,ENK,2019-01-02 00:00:00,NEAR,R2JV,259487,RL_IBBXR,7933,Near End,,cardtype4,Enable,f3,,0,1,0,86400,13,-30,0,369,256QAM,FALSE
143,NEC,2019-01-02 00:00:00,FAR,R2LF,352828,RL_IBC@E,,,,cardtype5,Enable,f5,,0,1,0,86400,2,-40,,257,512QAM,FALSE
144,ENK,2019-01-02 00:00:00,FAR,R2MX,1344455,RL_IBC@E,9198,Near End,,cardtype1,Enable,f3,,0,15,0,86400,64,-39.5,0.17666,406,512QAM,FALSE
145,NEC,2019-01-02 00:00:00,NEAR,R2NP,1347939,RL_IBC@E,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-27.4,,407,512QAM,FALSE
146,NEC,2019-01-02 00:00:00,NEAR,R2WP,1347939,RL_IBC@E,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-27.4,,407,512QAM,FALSE
147,NEC,2019-01-02 00:00:00,FAR,R2XE,353916,RL_IBC@E,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-38.4,,257,512QAM,FALSE
148,ENK,2019-01-02 00:00:00,NEAR,R2AH,343415,RL_IBCCA,8738,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-48.5,0,182,256QAM,FALSE
149,ENK,2019-01-02 00:00:00,FAR,R2UV,350866,RL_IBCIE,,,,cardtype4,Disable,f4,,0,0,0,86400,0,-38.2,,406,512QAM(QO),FALSE
150,NEC,2019-01-02 00:00:00,NEAR,R3AI,311221,RL_IBCIE,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-36.8,,447,1024 QAM,FALSE
151,NEC,2019-01-02 00:00:00,NEAR,R3AN,311221,RL_IBCIE,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-36.8,,447,1024 QAM,FALSE
